CREATE TABLE `app_all` (`app_id` BIGINT NOT NULL, PRIMARY KEY (`app_id`));
CREATE TABLE `app_events` (`event_id` BIGINT NOT NULL, `app_id` BIGINT NOT NULL, `is_installed` BIGINT, `is_active` BIGINT, PRIMARY KEY (`event_id`,`app_id`));
CREATE TABLE `app_events_relevant` (`event_id` BIGINT NOT NULL, `app_id` BIGINT NOT NULL, `is_installed` BIGINT, `is_active` BIGINT, PRIMARY KEY (`event_id`,`app_id`));
CREATE TABLE `app_labels` (`app_id` BIGINT, `label_id` BIGINT, `rowid` BIGINT NOT NULL, PRIMARY KEY (`rowid`));
CREATE TABLE `events` (`event_id` BIGINT NOT NULL, `device_id` BIGINT, `timestamp` DATETIME, `longitude` DOUBLE, `latitude` DOUBLE, PRIMARY KEY (`event_id`));
CREATE TABLE `events_relevant` (`event_id` BIGINT NOT NULL, `device_id` BIGINT, `timestamp` DATETIME, `longitude` DOUBLE, `latitude` DOUBLE, PRIMARY KEY (`event_id`));
CREATE TABLE `gender_age` (`device_id` BIGINT NOT NULL, `gender` TEXT, `age` BIGINT, `_group` TEXT, PRIMARY KEY (`device_id`));
CREATE TABLE `gender_age_test` (`device_id` BIGINT NOT NULL, PRIMARY KEY (`device_id`));
CREATE TABLE `gender_age_train` (`device_id` BIGINT NOT NULL, `gender` TEXT, `age` BIGINT, `_group` TEXT, PRIMARY KEY (`device_id`));
CREATE TABLE `label_categories` (`label_id` BIGINT NOT NULL, `category` TEXT, PRIMARY KEY (`label_id`));
CREATE TABLE `phone_brand_device_model2` (`device_id` BIGINT NOT NULL, `phone_brand` VARCHAR(100) NOT NULL, `device_model` VARCHAR(100) NOT NULL, PRIMARY KEY (`device_id`,`phone_brand`,`device_model`));
CREATE TABLE `sample_submission` (`device_id` BIGINT NOT NULL, `F23_` DOUBLE, `F24_26` DOUBLE, `F27_28` DOUBLE, `F29_32` DOUBLE, `F33_42` DOUBLE, `F43_` DOUBLE, `M22_` DOUBLE, `M23_26` DOUBLE, `M27_28` DOUBLE, `M29_31` DOUBLE, `M32_38` DOUBLE, `M39_` DOUBLE, PRIMARY KEY (`device_id`));
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (844, -6689096779184407258, 1, 0);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (844, -6590029937880196169, 1, 0);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (844, -5305692228635096563, 1, 0);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (844, -2917998150844653076, 1, 0);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (844, -1633968677373322472, 1, 0);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (844, -450723994850216235, 1, 0);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (844, -324761265507882224, 1, 0);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (844, 528590055286269542, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (844, 4296637564570566271, 1, 0);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (844, 5354621554047170232, 1, 0);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (844, 5497109940653330488, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (844, 5611317768433566721, 1, 0);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (844, 5927333115845830913, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (844, 6607018907660377991, 1, 0);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (844, 6666573787717908158, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (844, 8693964245073640147, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (844, 9112463114311278255, 1, 0);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (265, -3955212733485100109, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (265, 628020936226491308, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (265, 2577600876485430729, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (265, 3433289601737013244, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (265, 5927333115845830913, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (265, 6622131413909692192, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (265, 7140875290462183693, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (265, 8693964245073640147, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (265, 8948670408023620661, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (289, -5472633337921616096, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (289, -538061441862183033, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (289, 3352730443702988322, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (289, 5203158459421976765, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (289, 5927333115845830913, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (289, 7348340405200054701, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (289, 8693964245073640147, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (1220, -6793861127573349654, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (1220, -4082780593547460127, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (1756, -5472633337921616096, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (1756, -2320783822570582843, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (1756, 628020936226491308, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (1756, 758245148452694196, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (1756, 3433289601737013244, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (1756, 4521626599305779338, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (1756, 5195654633279707117, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (1756, 5927333115845830913, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (1756, 6284164581582112235, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (1756, 7495715957403479953, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (1756, 8257703614637634094, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (1756, 8693964245073640147, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (2600, -538061441862183033, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (2600, 3392445820581794022, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (2640, -5720078949152207372, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (2640, 701031210314548601, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (2640, 1346581380304309068, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (2640, 4348659952760821294, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (2640, 5099453940784075687, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (2640, 5927333115845830913, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (2640, 7014655825255656561, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (2640, 8693964245073640147, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (4995, -3955212733485100109, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (4995, -2320783822570582843, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (4995, 3433289601737013244, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (4995, 6284164581582112235, 1, 1);
INSERT INTO `app_events` (`event_id`, `app_id`, `is_installed`, `is_active`) VALUES (4995, 7316250158002095415, 1, 1);
